date,MKTX
2018-04-17,205.99
2018-04-18,203.2
2018-04-19,202.66
2018-04-20,202.46
2018-04-23,201.96
2018-04-24,201.17
2018-04-25,199.29
2018-04-26,199.49
2018-04-27,199.21
2018-04-30,198.6
2018-05-01,201.44
2018-05-02,202.02
2018-05-03,199.05
2018-05-04,201.75
2018-05-07,203.95
2018-05-08,203.31
2018-05-09,205.62
2018-05-10,204.545
2018-05-11,205.73
2018-05-14,199.56
2018-05-15,201.25
2018-05-16,202.33
2018-05-17,202.8
2018-05-18,204.73
2018-05-21,210.59
2018-05-22,210.4
2018-05-23,210.08
2018-05-24,211.9
2018-05-25,210.55
2018-05-29,210.95
2018-05-30,216.16
2018-05-31,213.65
2018-06-01,216.88
2018-06-04,217.94
2018-06-05,208.78
2018-06-06,211.27
2018-06-07,212.4
2018-06-08,214.97
2018-06-11,218.14
2018-06-12,215.45
2018-06-13,216.71
2018-06-14,217.35
2018-06-15,215.11
2018-06-18,213.87
2018-06-19,214.41
2018-06-20,213.04
2018-06-21,211.7
2018-06-22,210.99
2018-06-25,205.49
2018-06-26,202.66
2018-06-27,200.38
2018-06-28,202.52
2018-06-29,197.82
2018-07-02,200.62
2018-07-03,199.24
2018-07-05,199.81
2018-07-06,202.66
2018-07-09,202.81
2018-07-10,201.67
2018-07-11,204.1
2018-07-12,206.6
2018-07-13,205.86
2018-07-16,205.94
2018-07-17,207.63
2018-07-18,209.63
2018-07-19,208.9
2018-07-20,210.3
2018-07-23,210.46
2018-07-24,209.69
2018-07-25,202.92
2018-07-26,200.2
2018-07-27,198.6
2018-07-30,192.21
2018-07-31,193.92
2018-08-01,193.46
2018-08-02,190.84
2018-08-03,189.61
2018-08-06,189.61
2018-08-07,189.32
2018-08-08,186.28
2018-08-09,185.98
2018-08-10,186.5
2018-08-13,185.96
2018-08-14,186.58
2018-08-15,187.22
2018-08-16,187.97
2018-08-17,189.0
2018-08-20,189.95
2018-08-21,190.67
2018-08-22,190.71
2018-08-23,189.21
2018-08-24,187.31
2018-08-27,187.25
2018-08-28,188.55
2018-08-29,190.09
2018-08-30,189.89
2018-08-31,189.81
2018-09-04,194.36
2018-09-05,191.18
2018-09-06,184.17
2018-09-07,186.87
2018-09-10,182.78
2018-09-11,184.37
2018-09-12,184.09
2018-09-13,183.39
2018-09-14,183.45
2018-09-17,179.75
2018-09-18,181.66
2018-09-19,182.62
2018-09-20,183.29
2018-09-21,181.845
2018-09-24,184.28
2018-09-25,181.62
2018-09-26,179.28
2018-09-27,177.93
2018-09-28,178.51
2018-10-01,173.91
2018-10-02,178.11
2018-10-03,183.21
2018-10-04,191.6
2018-10-05,189.55
2018-10-08,186.15
2018-10-09,188.69
2018-10-10,186.94
2018-10-11,185.2
2018-10-12,187.53
2018-10-15,189.75
2018-10-16,193.72
2018-10-17,196.21
2018-10-18,194.75
2018-10-19,197.23
2018-10-22,196.34
2018-10-23,192.75
2018-10-24,208.69
2018-10-25,210.66
2018-10-26,207.72
2018-10-29,208.86
2018-10-30,217.27
2018-10-31,209.58
2018-11-01,208.57
2018-11-02,213.725
2018-11-05,206.97
2018-11-06,207.26
2018-11-07,207.94
2018-11-08,206.23
2018-11-09,208.45
2018-11-12,207.4
2018-11-13,207.67
2018-11-14,209.97
2018-11-15,210.11
2018-11-16,213.35
2018-11-19,214.66
2018-11-20,217.06
2018-11-21,214.92
2018-11-23,213.0
2018-11-26,215.09
2018-11-27,217.68
2018-11-28,216.0
2018-11-29,214.91
2018-11-30,217.835
2018-12-03,219.445
2018-12-04,221.705
2018-12-06,221.93
2018-12-07,224.54
2018-12-10,226.37
2018-12-11,228.77
2018-12-12,228.26
2018-12-13,229.33
2018-12-14,226.3
2018-12-17,219.55
2018-12-18,213.37
2018-12-19,213.0
2018-12-20,209.23
2018-12-21,204.91
2018-12-24,199.36
2018-12-26,204.38
2018-12-27,205.84
2018-12-28,207.26
2018-12-31,210.82
2019-01-02,208.92
2019-01-03,208.01
2019-01-04,214.41
2019-01-07,217.165
2019-01-08,216.68
2019-01-09,213.13
2019-01-10,212.65
2019-01-11,212.42
2019-01-14,207.635
2019-01-15,211.28
2019-01-16,216.16
2019-01-17,215.94
2019-01-18,219.11
2019-01-22,218.15
2019-01-23,219.69
2019-01-24,218.62
2019-01-25,219.38
2019-01-28,218.11
2019-01-29,213.65
2019-01-30,210.18
2019-01-31,214.78
2019-02-01,213.61
2019-02-04,216.45
2019-02-05,218.65
2019-02-06,218.87
